model_code,error_message,failed_time
SM-F731B,所有搜索方法都失败,2025-07-16 23:33:30
SM-G965F,所有搜索方法都失败,2025-07-16 23:34:02
vivo 1816,所有搜索方法都失败,2025-07-16 23:34:32
itel A662LM,所有搜索方法都失败,2025-07-16 23:35:03
Infinix X6511B,所有搜索方法都失败,2025-07-16 23:35:31
SM-M325FV,所有搜索方法都失败,2025-07-16 23:36:03
CPH2137,所有搜索方法都失败,2025-07-16 23:36:32
Z2453,所有搜索方法都失败,2025-07-16 23:37:02
RMX3627,所有搜索方法都失败,2025-07-16 23:37:35
Infinix X6817,所有搜索方法都失败,2025-07-16 23:38:06
SM-G998B,所有搜索方法都失败,2025-07-16 23:38:37
CPH2197,所有搜索方法都失败,2025-07-16 23:39:06
Infinix X663B,所有搜索方法都失败,2025-07-16 23:39:36
SM-S911B,所有搜索方法都失败,2025-07-16 23:40:07
CPH2145,所有搜索方法都失败,2025-07-16 23:40:38
25028PC03G,所有搜索方法都失败,2025-07-16 23:41:04
vivo 1804,所有搜索方法都失败,2025-07-16 23:41:38
SM-A145P,所有搜索方法都失败,2025-07-16 23:42:12
vivo 1806,所有搜索方法都失败,2025-07-16 23:42:44
24115RA8EG,所有搜索方法都失败,2025-07-16 23:43:15
TECNO BG7,所有搜索方法都失败,2025-07-16 23:43:48
M2101K9AG,所有搜索方法都失败,2025-07-16 23:44:20
itel P661N,所有搜索方法都失败,2025-07-16 23:44:56
SM-F926B,所有搜索方法都失败,2025-07-16 23:45:21
Redmi 6,所有搜索方法都失败,2025-07-16 23:45:55
itel P671L,所有搜索方法都失败,2025-07-16 23:46:29
SM-S901E,所有搜索方法都失败,2025-07-16 23:46:59
Infinix X6526,所有搜索方法都失败,2025-07-16 23:47:30
